dim,s,time,sampled,sieved,compared,num_short
25,10,0.105,225,3960,1568603,44
25,100,0.196,229,7584,3000953,4
25,1000,0.283,212,11243,4371009,4
26,10,0.138,249,4436,1989135,45
26,100,0.251,242,8521,3710753,51
26,1000,0.38,240,12889,5659006,0
27,10,0.199,307,5421,2878280,54
27,100,0.35,288,10136,5153327,1
27,1000,0.531,277,15693,7869505,50
28,10,0.274,325,6414,3881134,53
28,100,0.522,335,12475,7477923,46
28,1000,0.756,320,18668,10928194,56
29,10,0.358,351,7196,5043919,2
29,100,0.699,365,14597,9939784,5
29,1000,1.093,354,22794,15663899,36
30,10,0.524,420,8864,7098503,51
30,100,1.406,403,17610,14034004,58
30,1000,2.123,412,26595,21087267,47
31,10,1.009,507,10660,9985249,61
31,100,1.976,467,21101,19577918,3
31,1000,2.842,488,31163,28064619,57
32,10,1.0,544,12289,12989799,64
32,100,2.052,571,25269,26849236,44
32,1000,2.997,578,37284,39335051,4
33,10,1.451,679,14713,18554647,66
33,100,2.834,669,29575,36460927,46
33,1000,4.214,625,44452,54370955,1
34,10,2.016,761,17341,25000136,68
34,100,3.903,737,34546,48654123,13
34,1000,5.903,766,52599,73724056,59
35,10,2.64,847,19866,32517277,70
35,100,5.537,862,41665,68577436,60
35,1000,8.251,852,62666,102420058,67
36,10,3.771,950,23894,45365083,71
36,100,7.679,945,48756,92800509,2
36,1000,11.582,975,73775,139558336,65
37,10,5.387,1133,28682,63843659,73
37,100,14.458,1150,58374,128827197,74
37,1000,16.33,1162,88582,194702424,70
38,10,7.731,1367,33825,89058556,1
38,100,15.183,1294,68793,175477260,72
38,1000,22.88,1312,104045,264120651,73
39,10,10.567,1499,39997,119867984,68
39,100,21.373,1559,81766,243138263,47
39,1000,32.604,1482,124802,371449003,75
40,10,14.675,1722,47120,163062884,79
40,100,29.722,1770,96321,332160788,3
40,1000,44.845,1786,146680,501913178,80
41,10,20.45,2013,55381,223118705,72
41,100,42.287,2078,115328,462483447,72
41,1000,63.267,2004,173967,693981067,9
42,10,31.06,2374,65388,308303443,8
42,100,62.032,2332,134460,618244704,84
42,1000,98.007,2393,204153,936863435,80
43,10,40.842,2716,76374,411585132,82
43,100,82.973,2700,160160,859646217,19
43,1000,125.33,2657,242688,1296614975,0
44,10,58.93,3123,91357,577284814,12
44,100,115.833,3150,188037,1164078707,14
44,1000,178.323,3109,287517,1778129268,4
45,10,79.027,3505,106889,776338626,88
45,100,165.356,3602,224400,1615365450,90
