n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20,
512,10,35.88095498,20,6018,38360.53885,72,6018,6562.527196,59,6018,6697.362396,70,6018,6495.125011,66,6018,21428.10359,56,6018,61811.26683,51,6018, 
512,10,37.37409782,19,6974,36087.72198,65,6974,7329.484335,64,6974,7288.696143,58,6974,5334.104141,64,6974,22763.78451,54,6974,90624.5981,57,6974,
512,10,37.18631673,18,6851,36388.10201,70,6851,7530.917044,64,6851,5988.73444,59,6851,6777.711008,56,6851,24427.67989,59,6851,67288.58043,52,6851, 
512,10,35.97087145,19,6609,37057.17797,70,6609,8854.05625,63,6609,5907.9265,60,6609,6720.627909,56,6609,23094.71597,52,6609,60273.99506,57,6609, 
512,10,36.50459003,19,6606,35290.74508,63,6606,6390.848616,64,6606,7607.723372,59,6606,8943.014221,55,6606,23829.56735,55,6606,62452.78487,54,6606, 
512,10,35.48717976,20,6638,36635.47114,76,6638,6278.176499,65,6638,6645.251305,59,6638,8456.232488,63,6638,23001.95758,60,6638,64942.04527,54,6638, 
512,10,37.01851773,19,6626,36441.82041,73,6626,7335.206696,62,6626,6377.340711,61,6626,5931.601572,61,6626,21945.12294,57,6626,73368.69098,63,6626, 
512,10,36.20868897,19,6680,35674.51287,73,6733,6233.292898,70,6733,6892.993136,57,6733,7777.493756,64,6733,25070.66379,56,6733,61809.53269,61,6733, 
512,10,36.79302835,20,6711,36288.70551,75,6711,6563.468845,61,6711,6085.971256,62,6711,7052.173568,62,6711,24027.13104,56,6711,73388.82784,50,6711, 
512,10,35.14153981,21,6317,35719.17711,68,6317,6927.164085,65,6317,6808.989599,68,6317,6610.698974,62,6317,23176.17789,59,6317,64594.73267,55,6317, 
512,10,35.90085602,20,6568,35452.69742,68,6568,6308.886314,65,6568,8387.129472,60,6568,6096.487631,56,6568,24059.70904,56,6568,67006.22912,55,6568, 
512,10,35.99058461,17,6564,35068.88342,75,6564,7008.464521,63,6564,5967.362019,65,6564,8090.951682,56,6564,25588.53321,51,6564,57691.66559,54,6564, 
512,10,36.31241417,20,6761,35885.06278,61,6761,6257.343069,61,6761,7349.862538,57,6761,6953.309169,67,6761,20995.6366,56,6761,59640.38097,58,6761, 
512,10,35.5173285,19,6509,36607.82075,69,6509,7333.329607,69,6509,7114.726142,56,6509,5752.436603,65,6509,24945.98815,57,6509,56570.05338,57,6509, 
512,10,36.40951204,19,6727,36466.39622,70,6727,7773.057793,62,6727,6846.793065,64,6727,5202.5081,64,6727,21684.87104,59,6727,75731.19297,51,6727,
512,10,36.62667751,20,6862,36507.69354,70,6862,8586.455857,62,6862,4668.730341,65,6862,8056.268515,56,6862,22639.37865,55,6862,72395.64821,50,6862, 
512,10,37.01840258,18,6389,35368.83753,64,6389,7641.593907,63,6389,7720.936347,61,6389,9754.462911,57,6389,24383.4562,57,6389,75960.00122,54,6389,
512,10,36.91412783,18,6564,36534.11589,62,6564,6813.770167,67,6564,6217.591547,63,6564,9455.688759,57,6564,30034.04629,55,6564,45178.55879,53,6564, 
512,1000,35.94969916,2013,65927830,108247.6307,4173,65927830,16168.88904,2975,65927830,14717.36302,2156,55823034,27606.08364,1172,16597673,51263.97486,505,2979864,107749.3967,297,826634,
512,1000,37.12992287,1892,68214186,109074.5999,4146,68214186,20145.871,2688,68214186,18001.3969,1832,47633505,20509.88239,1294,17181764,47293.14342,482,3043958,120635.8952,286,865590,
512,1000,36.37760901,1870,69145997,109136.452,3862,69145997,15482.06015,2888,69145997,16670.51122,1764,43949391,20219.65415,1336,20542337,45574.7093,448,3197088,121759.7313,265,876621,
512,1000,37.19483256,1936,67920375,109254.1684,4366,67935891,13456.18987,2491,67935891,26124.15496,1766,34852142,18077.48274,1187,19330514,49120.22588,553,3229557,106743.3898,276,868193,
512,1000,38.37415457,2102,68673056,109196.7678,4205,68673056,15917.5862,3024,68673056,17558.88647,1987,50621373,15881.8274,1466,23523670,53325.6228,511,2888583,130779.2503,267,851476,
512,1000,35.82913327,1918,63471041,108360.0755,4040,63471041,13889.57746,3111,63471041,23130.16017,1812,40418863,19584.0087,1151,17632034,50377.96142,555,2561628,121273.1982,280,732878,
512,1000,36.67439437,2006,65490078,111257.1272,3870,65490078,14341.78163,2762,65490078,21081.56349,1991,48992463,13430.05655,1315,19215289,50518.68491,468,3193394,130988.3565,243,801713,
512,1000,36.0192523,1803,67915385,109109.6474,4673,67915385,17479.2444,3299,67915385,14956.84483,1960,49754840,18144.01375,1238,21172164,50284.18475,501,2871392,119196.2813,270,845343,
512,1000,37.2632556,1813,68644298,110095.5171,4197,68644298,18532.41703,2917,68644298,19024.67748,1982,43292909,11505.5982,1725,21756487,58992.3437,508,2858109,117249.6089,278,752364,
512,1000,35.96529913,1926,67642704,109758.1419,4273,67642704,19158.56665,2625,67642704,17583.16174,2084,43141788,16155.53408,1212,20141674,45722.74356,522,2897730,119284.0263,282,892092,
512,1000,37.02171087,1920,66222781,109926.4262,3870,66222781,16365.01532,2831,66222781,18875.98382,1986,53390095,14682.0633,1278,18203323,46615.78347,528,3236091,127386.0784,286,809615,
512,1000,35.37867618,1751,62592692,109391.1189,4367,62592692,21314.79882,2521,62592692,18968.49509,1839,40016182,13984.59484,1298,23983452,53627.28302,470,2682377,96060.38098,339,990653,
512,1000,36.75881863,1884,65106166,108810.3972,4000,65106166,17449.42669,2858,65106166,17340.45044,1800,45095120,14960.98688,1298,17795744,50297.6738,480,3033010,102279.7058,310,1002074,
512,1000,36.93263626,1770,69947056,108286.2576,4197,69947056,15484.52673,2754,69947056,18489.24591,1792,43400326,13732.883,1353,22505591,49676.68142,483,3536873,121783.7496,258,958275,
512,1000,39.97269464,1892,68730769,107785.545,4203,68730769,17786.90182,2923,68730769,21713.62869,1648,38092739,16913.05339,1308,22861423,46616.12415,473,2999136,114986.2392,269,920721,
512,1000,36.08284521,1842,67440577,107876.7202,4113,67440577,16984.65194,2878,67440577,16895.98889,1740,42413638,21661.69225,1113,17056350,50722.6168,485,3097657,127177.9084,274,785048,
512,1000,37.31780481,1943,63298989,108193.9678,4236,63298989,14786.7958,2950,63298989,21357.91894,1736,40234814,13975.94381,1218,19315150,41132.2401,519,3672887,92782.89906,262,890175,
512,1000,36.7082274,1923,64859848,109368.2971,4127,64859848,14786.25429,3207,64859848,21991.07164,1973,37695178,14866.68851,1284,21208042,44552.08367,554,3464245,96536.94515,287,906068,
512,1000,37.09908772,1759,67502136,109019.3773,3941,67502136,17216.00658,2696,67502136,15079.33937,1851,46201862,19495.01953,1358,20950182,50779.85981,491,2858342,100159.2802,313,976057,
512,1000,37.32161713,1926,67144968,108887.0611,4021,67144968,18058.63099,2653,67144968,23065.64572,1959,37725921,15396.483,1618,17610833,46609.21958,533,3657070,111809.1403,267,963413,
