n, T, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
256,100,1725.357354, 4100941345770705222364322689569369335688406971732332943395641600299577935308967795949662928094610548114983857551982514949566756232010131917598984035890673807438261067525749499287682538772158585210709473825653399765136411174907858174952182621608862268822882003556213946512389553823777665571967414002808887565298465341575439705744651960477942219124287408863046383493701619801658792882104773138206200235368754235457310322520448780492708909705385029514146742709628057577072915485210585484063336465177661324563699090948173294891911794896927344775109798520258553059547455848847199403463747611405282957132775161832470611672037468549101270157722623861005530116115259243219067141753977941458367329121415599147,744115,972.1315291,66,37796,684.0949385,44,10522,919.0762603,28,4189,562.3553777,21,3794,1644.324721,14,1616,3928.898907,12,862, 
256,1,601.5305188, 28487282945273065213581526780732013089374197154206690906854028968797477719787956248410122925448692323971673593619736395832071832157094819152550087387189040701768393166347394843635679918589123673046568399142894736477779314881182330598920162394381572401705823438169033157535665995505557193220087548756616362862531947537021235357165163711281979169270670183590093206109094778911364503796832932929780864680446347024796255840416363005377236187006522215086513693,148,128.9744439,9,148,332.5984027,8,148,228.5988543,8,148,342.9444494,8,148,719.3000727,7,148,3142.835013,7,148, 
256,10,843.5044661, 9482921856460707790316086588344348935113696772235967815821332658746824889138324526494677328447992405081627259289788914877258291815161268753141059169813933415840012283547466949531271386278786896251051160533981878872634045230957204114030183937075923650058730600494579935481192746105433497696773488530866085069141539018579939311116693698494723270244055761393892349466779938058308023136910447963389326037010157242132931799275346519669377226028155281795069,7878,427.2797623,44,8113,542.2716405,36,8113,692.8317318,27,4083,729.6694069,23,3881,1322.246543,14,1745,4740.020973,10,767, 
256,100,3001.23335, 2062526254424479989727722491421807041310575092367843899636592531469520389868333215285446555426319004495271213457325685549054203752231036178861669532807018939339157274678251820901124575947039214237091832142607977690324897510979869995870261566330110659999089143854920645098888692774406861180677877805094078979968192028336632639332239237952104713362765779282770880674816255018579159607641772291779165696395775630556440538922440648574069986135565600379348974899249466402476222502626178284248474105714493293932679926559046848069068156010810952537338515876769441185910479678379475890695057100549452982483889385959084007703725593861682852182249309150832071014220177419282756077154487614527579172141176697308718310613526733555585391671777492185060870420294773912534443698380855118840939520294338783061171618964925889094208514477412239625502975440121038489806632387321158541006923964317880977210065372484714359579777875002719566398966318918999229624467150604074710574523236922223955879016792149858394691198347650314953816164079510953752678960250314589979593305574279536584179911257887542823171323130745945303222396286696585387548399767321464170228722367449991994621868084362068229298402870948513337620324128517967816905046540211651058438594578774994468092859742985682969155584509991793089479836459164529269547383818756059726217992194659153747176123577131507601431367297500126188085266691144031939633672553863,737502,897.6215663,102,88934,558.6015375,36,11339,901.0201216,27,6158,569.6071856,27,3342,1428.011149,15,1689,3626.761379,10,895, 
256,1,302.4840875,7.14E+229,147,128.4962139,9,147,416.7087657,9,147,224.0830405,9,147,407.2243824,8,147,759.6719713,8,147,2392.777163,7,147, 
256,10,1123.2991, 483544832178702445248668184584274892401970085175278137157786906902009247217978555249179364788768292257564924040429498619871411789967514689857418064784959737870398619986373178798491334738023266733588585678264630105205070544911742880670785704152508637662113203071983311566947099098339970088381171777968147704245287459270599785098612560090962153985999303588439885530550244057958561639906464237439969336583941305969586848193197758561640189280080795284612642826446410286330955955150765321753923780515168708861128890396517554657633554936565371137908762240136682103708276317567760329996672294954760825856280355463304857422343534146557954062874170116599658757859435373598399319100360936767606072836109812122213748828074192054957140989607319055327101275980855174401190329779966229266007168518283245903583899990883701910801067564794472433311175484142491499516295260943000109669515233236135671758608626112375,8290,461.7585506,46,8290,752.9579296,32,8290,456.0864007,26,5417,690.6215107,22,4042,1912.384016,15,1596,4612.592903,11,873, 
256,100,1290.135275, 21591811166067902730907165601228734418840757450065351278166367276980395348490886627970569177931292842182943833359237027878590409346083669947022310613814787631891300352386229045858359814964016147238970669924270501815998304137702844283594390523031476350049597960384327385504782933963054594583538721682632532240469849505230902987590651443416021968170598863653112093541412394273977874087766615008853374897305466032457394625380763463950542215760651544403904709654710928224713352773765349370511255991541675963503629184634075520689040139963806710136417330452114845366438094812204180672058441073608326808473500914436724484863407084132795918152414584740369719290938084249778541886652422027181652950064418113335,723805,917.198545,75,42041,637.8899558,38,9032,539.7000206,26,4898,538.1390791,23,4081,1709.997005,14,1560,4983.068454,10,753, 
256,1,453.1265237,3.25E+227,153,132.1836498,9,153,350.8976197,9,153,251.0910652,8,153,238.5614591,8,153,900.1361742,8,153,1552.791009,7,153, 
256,10,560.0750623, 1990733757109550390797903941103065630341066330003048902710866387951634387158210330127956447161047073616044798069454826355304703298540975280799002794980432374800097323883836378264129069378291402137907742337806813180672606086374213742596840515089150590159436641924470611696318584508734440840034855722893684557356451684827553756198219840778497162433661034661361774954225924706908202793277943341776576493298165356243486224577360788297092129755979024790020,7771,428.6720557,44,7771,580.8980298,32,7741,815.2366462,26,4864,890.949882,23,3020,1559.022972,14,1571,4114.745166,11,841, 
256,100,431.3541369, 10319119207328113537333737544504645350343398102587798537945769461951861328097199732378406642867663642428394758044642843728020294834143426950507222127707174340694494742773431236284319304428690485953218175723308644174591175668427626244338818795465018029650228581724378714199049603370130119347537584025751831606696727606398144783972927158700199422911904294095646440193670623649489389262419635855312553043081575741912008459307233971497933659973574464130846289926236047817053108159871114286999616794053318594301874283991185631154178110068007985436465529082877286711934380176032341135858472437868913101438917532671108453021075751338943500650996581356699384664494117387289673592481124663136238479683762286138,736352,1017.647471,77,36676,831.8896046,35,8798,489.306421,27,5028,517.7551911,24,4659,1124.60846,16,1902,3620.601728,11,845, 
256,1,303.3658538,2.49E+229,147,131.6007149,9,147,246.5382087,8,147,359.3161738,9,147,272.4306414,8,147,709.3401055,7,147,2016.19892,8,147, 
256,10,563.0691078, 2021356905824749588614657276377383605730728401384500328404929463631530778032508870863369234068689155746210664803610321500226702695716310676441065192894951733319938888204177644163126826587621755261114719499282510521303011502285891686126456397068723591045132776410239264282484963248881027684066225035855574966190589613764901052999398252870537404453164628289453709062340879622647081808407992606337101427922375464267811456946338454572342623141618866298019,7871,419.310256,42,7871,810.4413559,36,7525,307.4097593,27,5448,790.3975871,22,3205,1954.7299,14,1414,3854.092329,11,818, 
