n, b, d, L, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
256,1,2,2560,39.34542823,53,16,7.111852646,1,1,,,,,,,,,,,,,,,,
256,1,2,5120,94.45512033,2537,63419,159.2610927,100,45391,760.7581754,39,9213,326.4540937,30,6789,756.6660817,22,4077,1779.377004,13,1625,3868.973795,11,789, 
256,1,2,7680,163.1742327,179649,11393371,741.084116,83,36145,571.5151665,39,9781,781.3912296,25,5482,534.1382332,27,3496,1639.089968,16,1567,3597.469919,11,823, 
256,1,2,10240,218.358773,9752519,2.6211E+11,1753.32487,79,37304,734.6410589,35,8701,682.5946717,26,5120,454.5326593,25,4090,2060.791164,15,1470,3291.629446,12,829, 
256,1,2,12800,294.8207021,520921539,5.83938E+14,2547.750201,79,29674,653.2181742,37,9113,976.5637333,29,4126,173.7848392,23,4119,1908.720683,14,1461,3604.654173,13,830, 
256,1,3,2560,57.03290009,898069,371487350,1089.09224,75,36987,628.7893813,39,9770,787.69697,24,3881,449.4038363,22,3173,1939.456228,14,1391,3429.533127,11,884, 
256,1,3,5120,123.1348028,3.19753E+11,3.66801E+16,4235.425184,75,35152,534.7626472,37,11441,943.775558,25,4631,639.630034,21,3490,1345.996828,17,1514,3843.554051,11,901, 
256,1,3,7680,187.5846598,2.86393E+17,2.48445E+16,1362.402747,76,33615,637.4176118,34,9505,838.1742799,25,4511,531.7538421,23,3661,1438.246824,16,1474,2774.200778,11,913, 
256,1,3,10240,251.0451789,5.34175E+22,5.92018E+40,1992.634158,78,38370,633.1970427,34,10719,727.2668004,26,5239,579.2183681,25,2932,1495.731216,15,1413,3854.463239,12,803, 
256,1,3,12800,317.8150644,7.66981E+28,2.04424E+50,2462.015347,73,37199,483.3985105,43,11574,855.0092502,26,4438,571.3728619,27,3857,1661.596052,14,1663,3270.360503,11,889, 
256,1,4,2560,64.2259562,1.5376E+13,5.06509E+16,4900.287996,73,43892,498.9836676,38,10099,730.8212771,29,5241,567.9875891,22,3292,1469.852425,15,1818,4080.862838,12,789, 
256,1,4,5120,137.7153111,3.33299E+24,3.4517E+45,2235.354344,71,35669,686.7112923,37,9486,626.8132944,23,4734,389.8816535,24,3839,1751.063157,16,1570,3386.945766,12,950, 
256,1,4,7680,201.5998929,1.86017E+38,6.64217E+69,4126.129388,80,38020,951.8197234,32,6296,618.5790863,25,5283,437.8271949,22,3058,1308.461352,14,1819,4640.870918,11,851, 
256,1,4,10240,271.7705569,6.48249E+49,1.05289E+89,5175.157731,78,38268,757.5908267,41,8941,910.0742507,27,4900,424.4470522,22,4025,1782.188331,14,1823,2837.068302,12,896, 
256,1,4,12800,342.1015062,3.56906E+60,8.1009E+116,7676.169736,77,40155,756.507719,37,6985,647.4987454,26,5326,588.716717,20,4025,1788.341797,14,1619,3851.640669,11,867, 
128,1,2,1280,5.424295902,80,4,1.381768942,1,1,,,,,,,,,,,,,,,,
128,1,2,2560,12.35804343,2520,79281,2.410594463,6,153,24.47723794,4,82,25.80027318,3,61,21.07202744,3,1,,,,,,,
128,1,2,3840,20.12686419,115974,58451586,3.524372339,5,111,16.99108934,4,88,24.39828515,4,54,33.21416545,3,1,,,,,,,
128,1,2,5120,27.26506948,5716396,1.05764E+11,4.648335218,5,105,25.98609424,4,64,19.26029253,4,60,14.80937481,3,44,67.68146157,1,1,,,,
128,1,2,6400,35.3227427,601793724,1.55721E+13,5.644949913,6,106,28.06796694,4,73,32.0690465,3,53,27.83676529,3,1,,,,,,,
128,1,3,1280,7.069007635,558336,29149058,4.022279739,6,183,20.43753791,4,81,18.14287353,4,73,24.20679402,3,52,48.08140826,1,1,,,,
128,1,3,2560,15.02877235,77436331523,1.93336E+17,7.605042934,5,140,26.06253624,4,76,11.6685338,3,47,23.16828299,3,1,,,,,,,
128,1,3,3840,22.92243385,7.11623E+16,1.09943E+16,48.96812749,5,107,21.59664297,4,75,27.42633319,4,49,14.5426836,3,49,51.12962246,1,1,,,,
128,1,3,5120,31.55806041,5.89419E+22,5.18932E+40,64.86904407,6,170,31.25218701,4,68,14.36651921,4,60,52.13831902,3,1,,,,,,,
128,1,3,6400,38.77786756,4.14684E+28,1.47978E+52,81.78793597,5,118,23.97283578,4,67,10.8540585,4,65,25.42017198,3,44,46.97676206,1,1,,,,
128,1,4,1280,8.103191376,8.79579E+11,2.71833E+17,8.303938627,8,113,19.9896419,4,80,14.50287199,3,63,18.76737976,3,57,60.92892313,1,1,,,,
