n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,2.773804188,1558,14746372,10.20924258,7,116,29.37493086,4,77,15.30033517,3,65,18.71977115,3,60,9.185286045,3,53,28.94118071,3,1,,,,,,,,,
128,1000,2.830306053,1668,14425202,10.48079157,5,144,21.8357749,4,62,33.13685989,3,58,1.471721411,3,57,17.13041902,3,47,16.61224532,3,1,,,,,,,,,
128,1000,2.769691944,1823,13273389,10.12278485,6,136,14.20141482,4,93,26.46297073,3,64,19.59222531,3,1,,,,,,,,,,,,,,,
128,1000,2.775910139,1612,14987394,10.17831469,6,175,17.53425717,4,77,19.56093383,3,67,26.21547818,3,53,14.83787632,3,46,59.62990117,1,1,,,,,,,,,
128,1000,2.769697428,1661,14632733,10.13158178,6,143,27.91773415,4,69,32.97643089,3,56,10.46538496,3,50,10.97925186,3,48,10.64125729,3,45,50.19324994,1,1,,,,,,
128,1000,2.766696453,1556,14376453,10.15730238,6,147,23.92449665,4,70,16.47358537,3,54,24.34180117,3,49,18.23430705,3,45,0.365824699,3,45,34.11870289,2,1,,,,,,
128,1000,2.768106222,1539,14860646,10.13745165,6,159,16.47911787,4,82,20.2021606,4,65,20.94055939,3,50,8.26974988,3,48,18.99096274,3,1,,,,,,,,,
128,1000,2.794904709,1973,13693652,10.18954849,6,131,20.42963767,4,82,27.79632616,4,53,17.03883266,3,52,17.26869726,3,47,49.51268268,1,1,,,,,,,,,
128,1000,2.772842407,1699,13139494,10.25999093,5,127,18.42638946,4,71,20.31092906,4,72,23.31156468,3,52,15.12224102,3,34,15.65855289,3,1,,,,,,,,,
128,1000,2.765875101,1627,14522744,10.1276896,7,134,22.84259939,4,70,24.16511464,4,65,20.21912146,3,46,5.383860111,3,1,,,,,,,,,,,,
128,1000,2.778318405,1509,14924624,10.18354702,5,116,16.6441083,4,86,22.1905427,3,59,16.90738702,3,1,,,,,,,,,,,,,,,
128,1000,2.733952522,1584,14392120,10.21347165,6,120,18.73899055,4,84,25.69970512,3,64,17.32445431,3,58,25.28358006,3,1,,,,,,,,,,,,
128,1000,2.759394407,1587,14465229,10.11742234,6,149,29.78385854,4,55,15.61629725,3,64,17.53187943,3,56,23.33747196,3,46,7.817270041,3,42,2.471944809,3,37,33.16077924,3,1,,,
128,1000,2.787097692,1536,13735952,11.24132061,6,148,26.31166577,6,68,32.75289965,3,54,17.89061189,3,44,19.08216166,3,45,58.8404274,1,1,,,,,,,,,
128,1000,2.807376862,1527,15174211,10.20017171,5,122,22.05493784,4,76,16.66163373,4,59,23.62012243,3,45,23.72517133,3,41,10.22346878,3,39,7.497907639,3,1,,,,,,
